序号,课程编码,课程名称,课程属性,所属学科/专业,课时/学分,开课周,星期节次,教室,授课方式,考试方式
2.0,011D9039Z﹡,数理逻辑,其它,,40/2.0,第2-12周,周三(5-6),N306,课堂讲授为主,大开卷
4.0,011D9059Z﹡,电磁反散射问题,其它,,40/2.0,第2-12周,周三(3-4),N306,课堂讲授为主,课堂开卷
7.0,011D9093Z﹡,多层迭代法,其它,,20/1.0,第2-12周,周三(3-4),N308,课堂讲授为主,大开卷
10.0,011D9102Z﹡,代数几何I、II,其它,,80/4.0,第3-20周,周一(3-4),N406,课堂讲授为主,课堂开卷
10.0,011D9102Z﹡,代数几何I、II,其它,,80/4.0,第3-20周,周五(2-4),N406,课堂讲授为主,课堂开卷
11.0,011D9103Z﹡,代数数论I、II,其它,,80/4.0,第2-22周,周三(5-6),N401,课堂讲授为主,课堂开卷
15.0,011M1003Y,微分流形,一级学科核心课,数学,60/3.0,第2-18周,周三(5-6),教204,课堂讲授为主,闭卷笔试
20.0,011M1010Y,泛函分析Ⅰ,一级学科核心课,数学,40/2.0,第8-19周,周六(3-4),阶二2,课堂讲授为主,闭卷笔试
20.0,011M1010Y,泛函分析Ⅰ,一级学科核心课,数学,40/2.0,第8-19周,周日(5-6),阶二2,课堂讲授为主,闭卷笔试
21.0,011M1011H,最优化计算方法,一级学科核心课,"数学
系统科学",40/2.0,第8-20周,周一(3-4),教1-101,课堂讲授为主,课堂开卷
21.0,011M1011H,最优化计算方法,一级学科核心课,"数学
系统科学",40/2.0,第8-20周,周三(3-4),教1-101,课堂讲授为主,课堂开卷
24.0,011M1014H,偏微分方程概论,一级学科核心课,"数学
系统科学",60/3.0,第2-13周,周三(5-7),教1-317,课堂讲授为主,闭卷笔试
25.0,011M1014Y,偏微分方程概论,一级学科核心课,"数学
系统科学",60/3.0,第2-13周,周五(2-4),教304,课堂讲授为主,闭卷笔试
25.0,011M1014Y,偏微分方程概论,一级学科核心课,"数学
系统科学",60/3.0,第2-13周,周日(2-4),教304,课堂讲授为主,闭卷笔试
28.0,011M4008H,数值线性代数,专业核心课,计算数学,40/2.0,第3-14周,周五(1-2),教1-123,课堂讲授为主,闭卷笔试
29.0,011M4009H,数值逼近,专业核心课,计算数学,40/2.0,第2-16周,周三(5-7),教1-225,课堂讲授为主,闭卷笔试
31.0,011M4013H,多元统计分析,专业核心课,"概率论与数理统计
统计学（生物与医学统计）
统计学（数理统计与统计计算）",60/3.0,第2-18周,周五(3-4),教1-209,课堂讲授为主,闭卷笔试
35.0,011M5002Y,微分拓扑,专业普及课,,40/2.0,第2-13周,周一(3-4),教304,课堂讲授为主,课堂开卷
35.0,011M5002Y,微分拓扑,专业普及课,,40/2.0,第2-13周,周三(3-4),教304,课堂讲授为主,课堂开卷
40.0,01MGX004H,复变函数与积分变换,公共选修课,,40/1.5,第2-10周,周五(9-11),教1-108,课堂讲授为主,闭卷笔试
52.0,021M1006H,光学电磁理论及应用,一级学科核心课,物理学,50/3.0,第2-20周,周五(1-3),教1-109,课堂讲授为主,闭卷笔试
53.0,021M1007H,超导物理,一级学科核心课,物理学,50/3.0,第2-20周,周三(5-7),教1-215,课堂讲授为主,闭卷笔试
62.0,021M2003H,密度泛函理论与应用,一级学科普及课,物理学,40/2.0,第2-15周,周五(1-3),教1-405,课堂讲授为主,课堂开卷
63.0,021M2004H,量子场论（1）（理论物理方向）,一级学科普及课,物理学,50/3.0,第2-20周,周五(1-3),教1-306,课堂讲授为主,闭卷笔试
64.0,021M2005H,广义相对论,一级学科普及课,物理学,50/3.0,第2-20周,周三(5-7),教1-405,课堂讲授为主,闭卷笔试
65.0,021M2007H,高等物理实验（1）,实验课,,20/0.5,第9周,周六(1),学2-340(物理学院教学实验室),讲课、实验,读书报告
67.0,021M2011H,微分几何及其在物理中的应用,一级学科普及课,物理学,50/3.0,第6-20周,周五(9-10),教1-121,课堂讲授为主,闭卷笔试
68.0,021M2013H,实验物理中的概率和统计,一级学科普及课,物理学,40/2.0,第2-15周,周一(3-4),教1-405,课堂讲授为主,闭卷笔试
68.0,021M2013H,实验物理中的概率和统计,一级学科普及课,物理学,40/2.0,第2-15周,周三(3-4),教1-405,课堂讲授为主,闭卷笔试
70.0,021M2016H,现代生物物理学,一级学科普及课,物理学,50/3.0,第2-18周,周三(5-6),教1-134,课堂讲授为主,课堂开卷
73.0,021M2040H,海洋声学,一级学科普及课,物理学,50/3.0,第2-20周,周三(5-7),教1-214,课堂讲授为主,课堂开卷
77.0,021M3001H,密度泛函理论与应用讨论班,一级学科研讨课,物理学,20/1.0,第16-20周,周五(1-4),教1-405,授课、讨论,读书报告
79.0,021M3019H,声表面波传感技术及应用,一级学科研讨课,物理学,20/1.0,第3-10周,周五(1-3),教1-134,课堂讲授为主,读书报告
81.0,031M1002H,高等天文学,一级学科核心课,天文学,60/3.0,"第2-3,6-20周",周一(1-3),教1-208,课堂讲授为主,闭卷笔试
84.0,031M2003H,射电望远镜设计与实现,一级学科普及课,天文学,48/3.0,"第2,4,6-19周",周六(5-8),教1-127,课堂讲授为主,大开卷
86.0,031M4002H,现代太阳物理导论,专业核心课,天体物理,60/3.0,"第2-4,6-20周",周三(5-7),学2-104,课堂讲授为主,闭卷笔试
87.0,031M4003H,行星科学导论,专业核心课,天体物理,60/3.0,"第2-4,6-20周",周五(9-11),教1-214,课堂讲授为主,闭卷笔试
93.0,031M4014H,天文光学系统,专业核心课,天文技术与方法,60/3.0,"第4,6-14周",周五(1-3),教1-315,课堂讲授为主,闭卷笔试
95.0,031M5002H,核天体物理学,专业普及课,天体物理,45/2.0,"第2-4,6-17周",周五(1-3),教1-223,课堂讲授为主,课堂开卷
97.0,032M1001H,空间环境预报,一级学科核心课,航空宇航科学与技术,54/3.0,"第2-4,6-20周",周三(5-7),学2-362,课堂讲授为主,课堂开卷
100.0,032M1004H,航天器轨道姿态动力学与控制,一级学科核心课,航空宇航科学与技术,56/3.0,"第2-4,6-20周",周五(9-11),教1-123,课堂讲授为主,课堂开卷
101.0,032M2001H,空间科学概论,一级学科普及课,航空宇航科学与技术,30/2.0,"第2-4,6-17周",周三(3-4),教1-114,课堂讲授为主,课堂开卷
102.0,041M4003H,高等仪器分析,专业核心课,分析化学,50/3.0,第3-13周,周三(5-7),教2-205,课堂讲授为主,闭卷笔试
103.0,041M4004H,高等有机合成,专业核心课,有机化学,50/3.0,第2-20周,周三(5-7),教2-105,课堂讲授为主,闭卷笔试
106.0,041M4009H,高等高分子物理,专业核心课,高分子化学与物理,72/5.0,第7-20周,周三(5-7),教2-125,课堂讲授为主,闭卷笔试
107.0,041M4010H,配位化学,专业核心课,无机化学,60/4.0,第2-21周,周一(2-4),教2-204,课堂讲授为主,闭卷笔试
108.0,041M4011H,化学热力学,专业核心课,物理化学,50/3.0,第2-20周,周三(5-7),教2-207,课堂讲授为主,闭卷笔试
109.0,041M4012H,化学反应动力学,专业核心课,物理化学,50/3.0,第2-16周,周五(1-2),教2-204,课堂讲授为主,闭卷笔试
120.0,041M5018H-1,电化学原理及应用,专业普及课,物理化学,50/3.0,第2-18周,周三(5-6),教1-306,课堂讲授为主,课堂开卷
121.0,041M5018H-2,电化学原理及应用,专业普及课,物理化学,50/3.0,"第2-4,6-16周",周三(3-4),教2-106,课堂讲授为主,闭卷笔试
121.0,041M5018H-2,电化学原理及应用,专业普及课,物理化学,50/3.0,"第2-4,6-16周",周五(3-4),教2-106,课堂讲授为主,闭卷笔试
122.0,041M5019H,光化学原理及应用,专业普及课,物理化学,50/3.0,第2-16周,周五(1-2),教2-118,课堂讲授为主,闭卷笔试
125.0,041M6002H,纳米分析前沿,专业研讨课,分析化学,21/1.0,第12-20周,周三(5-7),教2-121,授课、讨论,读书报告
128.0,041M6010H,纳米材料的应用,专业研讨课,无机化学,20/1.0,第13-20周,周三(5-7),教2-327,授课、讨论,读书报告
129.0,051M1002H,材料分析方法,一级学科核心课,材料科学与工程,50/3.0,第2-16周,周三(5-6),教1-101,课堂讲授为主,闭卷笔试
131.0,051M2005H,材料科学与工程中的数学方法,一级学科普及课,材料科学与工程,50/3.0,第6-19周,周一(3-4),教1-404,课堂讲授为主,闭卷笔试
131.0,051M2005H,材料科学与工程中的数学方法,一级学科普及课,材料科学与工程,50/3.0,"第6,8-18周",周三(3-4),教1-404,课堂讲授为主,闭卷笔试
133.0,051M2007H,高等半导体物理,一级学科普及课,材料科学与工程,40/2.0,第2-17周,周三(5-7),教1-009,课堂讲授为主,闭卷笔试
